date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:32:15	708/708	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20May%202023%2014:42:52%20GMT	https://ifrfund.com/css/bootstrap.min.html	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/css/bootstrap.min.html	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:16	1482/1482	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202024%2010:32:16%20GMT	https://ifrfund.com/ie10-viewport-bug-workaround.html	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/ie10-viewport-bug-workaround.html	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:17	2203/2203	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20May%202023%2014:28:42%20GMT	https://ifrfund.com/images/js/ie-emulation-modes-warning.js	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/js/ie-emulation-modes-warning.js	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:18	86659/86659	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Mar%202020%2001:15:00%20GMT	https://ifrfund.com/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:20	95786/95786	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2018%20Oct%201991%2018:00:00%20GMT	https://ifrfund.com/code.jquery.com/jquery-latest.min.js	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/code.jquery.com/jquery-latest.min.js	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:20	6188/6188	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20May%202023%2014:28:42%20GMT	https://ifrfund.com/images/js/calcs.js	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/js/calcs.js	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:21	6139/6139	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20May%202020%2022:17:54%20GMT	https://ifrfund.com/cdnjs.cloudflare.com/ajax/libs/wow/0.1.12/wow.min.js	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/cdnjs.cloudflare.com/ajax/libs/wow/0.1.12/wow.min.js	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:22	16066/16066	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20May%202023%2014:28:42%20GMT	https://ifrfund.com/images/js/wow.js	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/js/wow.js	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:24	85660/85660	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20May%202023%2014:41:30%20GMT	https://ifrfund.com/images/js/jquery.min.js	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/js/jquery.min.js	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
02:32:26	93440/93440	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2028%20May%202023%2010:27:20%20GMT	https://ifrfund.com/images/js/owl.carousel.js	/Users/Dj_Ice-Beatz/Coinshark%20/Investment/ifrfund.com/images/js/owl.carousel.js	(from https://ifrfund.com/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1OQkQExyW7kh2uVXxpc0x8GaVjAYkfLwi4yAAscSUkyEpaf-QsnPwBoC1RIQAvD_BwE)
